***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 67359;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 24.3 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.81 at 027.8°C amp 172200;
100.00%a.s.phase 2: 26.12 at 028.1°C amp 054000;
Date   (ddmmyy)   : 150618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
15/06/18;
5:20:20 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 5:20:20 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
15/06/18;   17:20:20;       0.000; 249.223;   26.01;   39080;   27.90; E0;
15/06/18;   17:20:21;       0.017; 249.102;   26.02;   39068;   27.90; E0;
15/06/18;   17:20:22;       0.034; 248.859;   26.03;   39086;   27.90; E0;
15/06/18;   17:20:23;       0.051; 248.859;   26.03;   39087;   27.90; E0;
15/06/18;   17:20:24;       0.068; 248.739;   26.03;   39080;   27.90; E0;
15/06/18;   17:20:25;       0.085; 248.859;   26.03;   39080;   27.90; E0;
15/06/18;   17:20:26;       0.102; 248.980;   26.02;   39099;   27.90; E0;
15/06/18;   17:20:27;       0.118; 248.799;   26.03;   39100;   27.90; E0;
15/06/18;   17:20:28;       0.135; 248.799;   26.03;   39087;   27.90; E0;
15/06/18;   17:20:29;       0.152; 248.678;   26.03;   39118;   27.90; E0;
15/06/18;   17:20:30;       0.169; 248.618;   26.04;   39106;   27.90; E0;
15/06/18;   17:20:31;       0.186; 248.980;   26.02;   39114;   27.90; E0;
15/06/18;   17:20:32;       0.203; 248.980;   26.02;   39125;   27.90; E0;
15/06/18;   17:20:33;       0.220; 248.920;   26.02;   39112;   27.90; E0;
15/06/18;   17:20:34;       0.237; 249.041;   26.02;   39107;   27.90; E0;
15/06/18;   17:20:35;       0.254; 248.739;   26.03;   39119;   27.90; E0;
15/06/18;   17:20:36;       0.271; 248.739;   26.03;   39099;   27.90; E0;
15/06/18;   17:20:37;       0.288; 248.799;   26.03;   39112;   27.90; E0;
15/06/18;   17:20:38;       0.305; 248.678;   26.03;   39105;   27.90; E0;
15/06/18;   17:20:39;       0.322; 248.859;   26.02;   39125;   27.90; E0;
15/06/18;   17:20:40;       0.339; 248.859;   26.02;   39106;   27.90; E0;
15/06/18;   17:20:41;       0.356; 248.859;   26.02;   39120;   27.90; E0;
15/06/18;   17:20:43;       0.373; 248.980;   26.02;   39125;   27.90; E0;
15/06/18;   17:20:44;       0.390; 248.557;   26.04;   39111;   27.90; E0;
15/06/18;   17:20:45;       0.407; 248.557;   26.04;   39112;   27.90; E0;
15/06/18;   17:20:46;       0.423; 248.678;   26.03;   39125;   27.90; E0;
15/06/18;   17:20:47;       0.440; 248.557;   26.04;   39112;   27.90; E0;
15/06/18;   17:20:48;       0.457; 248.799;   26.03;   39112;   27.90; E0;
