***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 66661;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 24.2 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.80 at 027.5°C amp 099300;
100.00%a.s.phase 2: 26.89 at 027.9°C amp 042300;
Date   (ddmmyy)   : 290618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
29/06/18;
6:42:48 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 6:42:48 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
29/06/18;   18:42:48;       0.000; 237.389;   27.22;   44311;   28.00; E0;
29/06/18;   18:42:49;       0.017; 237.165;   27.23;   44322;   28.00; E0;
29/06/18;   18:42:50;       0.034; 237.165;   27.23;   44306;   28.00; E0;
29/06/18;   18:42:51;       0.051; 236.941;   27.24;   44334;   28.00; E0;
29/06/18;   18:42:52;       0.068; 236.885;   27.24;   44337;   28.00; E0;
29/06/18;   18:42:53;       0.085; 237.109;   27.23;   44311;   28.00; E0;
29/06/18;   18:42:54;       0.102; 236.941;   27.24;   44317;   28.00; E0;
29/06/18;   18:42:55;       0.118; 237.109;   27.23;   44344;   28.00; E0;
29/06/18;   18:42:56;       0.135; 237.053;   27.23;   44350;   28.00; E0;
29/06/18;   18:42:57;       0.152; 236.829;   27.25;   44309;   28.00; E0;
29/06/18;   18:42:58;       0.169; 236.829;   27.25;   44345;   28.00; E0;
29/06/18;   18:42:59;       0.186; 236.605;   27.25;   44329;   28.00; E0;
29/06/18;   18:43:00;       0.203; 236.773;   27.25;   44345;   28.00; E0;
29/06/18;   18:43:01;       0.220; 236.941;   27.24;   44331;   28.00; E0;
29/06/18;   18:43:02;       0.237; 237.109;   27.23;   44331;   28.00; E0;
29/06/18;   18:43:03;       0.254; 237.053;   27.23;   44330;   28.00; E0;
29/06/18;   18:43:04;       0.271; 236.829;   27.25;   44331;   28.00; E0;
29/06/18;   18:43:05;       0.288; 236.941;   27.24;   44333;   28.00; E0;
29/06/18;   18:43:06;       0.305; 236.885;   27.24;   44319;   28.00; E0;
29/06/18;   18:43:07;       0.322; 237.921;   27.23;   44338;   27.90; E0;
29/06/18;   18:43:08;       0.339; 238.146;   27.22;   44321;   27.90; E0;
29/06/18;   18:43:09;       0.355; 238.146;   27.22;   44288;   27.90; E0;
29/06/18;   18:43:10;       0.372; 238.034;   27.23;   44298;   27.90; E0;
29/06/18;   18:43:11;       0.389; 238.259;   27.22;   44289;   27.90; E0;
29/06/18;   18:43:13;       0.406; 238.034;   27.23;   44312;   27.90; E0;
29/06/18;   18:43:14;       0.423; 237.865;   27.23;   44300;   27.90; E0;
29/06/18;   18:43:15;       0.440; 238.034;   27.23;   44313;   27.90; E0;
29/06/18;   18:43:16;       0.457; 237.921;   27.23;   44319;   27.90; E0;
29/06/18;   18:43:17;       0.474; 237.921;   27.23;   44318;   27.90; E0;
