***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 66174;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 26.9 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 60.38 at 019.3°C amp 066100;
100.00%a.s.phase 2: 28.14 at 019.2°C amp 035800;
Date   (ddmmyy)   : 200618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
20/06/18;
6:49:03 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 6:49:03 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
20/06/18;   18:49:03;       0.000; 299.985;   27.78;   41824;   19.10; E0;
20/06/18;   18:49:04;       0.017; 299.845;   27.79;   41818;   19.10; E0;
20/06/18;   18:49:05;       0.034; 299.566;   27.80;   41799;   19.10; E0;
20/06/18;   18:49:06;       0.051; 299.286;   27.80;   41830;   19.10; E0;
20/06/18;   18:49:07;       0.068; 299.286;   27.80;   41813;   19.10; E0;
20/06/18;   18:49:08;       0.085; 299.705;   27.79;   41813;   19.10; E0;
20/06/18;   18:49:09;       0.102; 299.775;   27.79;   41824;   19.10; E0;
20/06/18;   18:49:10;       0.118; 299.845;   27.79;   41818;   19.10; E0;
20/06/18;   18:49:11;       0.135; 299.705;   27.79;   41806;   19.10; E0;
20/06/18;   18:49:12;       0.152; 299.217;   27.81;   41806;   19.10; E0;
20/06/18;   18:49:13;       0.169; 299.217;   27.81;   41818;   19.10; E0;
20/06/18;   18:49:14;       0.186; 299.217;   27.81;   41819;   19.10; E0;
20/06/18;   18:49:15;       0.203; 299.077;   27.81;   41806;   19.10; E0;
20/06/18;   18:49:16;       0.220; 298.938;   27.82;   41825;   19.10; E0;
20/06/18;   18:49:17;       0.237; 299.077;   27.81;   41813;   19.10; E0;
20/06/18;   18:49:18;       0.254; 299.147;   27.81;   41818;   19.10; E0;
20/06/18;   18:49:19;       0.271; 299.286;   27.80;   41812;   19.10; E0;
