***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 67359;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 24.3 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.81 at 027.8°C amp 172200;
100.00%a.s.phase 2: 26.12 at 028.1°C amp 054000;
Date   (ddmmyy)   : 150618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
15/06/18;
4:30:10 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 4:30:10 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
15/06/18;   16:30:10;       0.000; 251.171;   25.93;   36117;   27.90; E0;
15/06/18;   16:30:11;       0.017; 251.415;   25.92;   36131;   27.90; E0;
15/06/18;   16:30:12;       0.034; 251.415;   25.92;   36137;   27.90; E0;
15/06/18;   16:30:13;       0.051; 251.538;   25.91;   36132;   27.90; E0;
15/06/18;   16:30:14;       0.068; 251.783;   25.91;   36170;   27.90; E0;
15/06/18;   16:30:15;       0.085; 251.845;   25.90;   36158;   27.90; E0;
15/06/18;   16:30:16;       0.102; 251.967;   25.90;   36158;   27.90; E0;
15/06/18;   16:30:17;       0.118; 251.845;   25.90;   36149;   27.90; E0;
15/06/18;   16:30:18;       0.135; 251.661;   25.91;   36174;   27.90; E0;
15/06/18;   16:30:19;       0.152; 251.599;   25.91;   36177;   27.90; E0;
15/06/18;   16:30:20;       0.169; 251.599;   25.91;   36169;   27.90; E0;
15/06/18;   16:30:21;       0.186; 251.599;   25.91;   36201;   27.90; E0;
15/06/18;   16:30:22;       0.203; 251.477;   25.92;   36180;   27.90; E0;
15/06/18;   16:30:23;       0.220; 251.171;   25.93;   36206;   27.90; E0;
15/06/18;   16:30:24;       0.237; 250.804;   25.95;   36174;   27.90; E0;
15/06/18;   16:30:25;       0.254; 250.682;   25.95;   36193;   27.90; E0;
15/06/18;   16:30:26;       0.271; 250.499;   25.96;   36217;   27.90; E0;
