***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 65983;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 9;
Internal temp     : 26.7 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 60.32 at 019.1°C amp 074500;
100.00%a.s.phase 2: 28.06 at 019.1°C amp 033500;
Date   (ddmmyy)   : 220618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
22/06/18;
6:32:29 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 6:32:29 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
22/06/18;   18:32:29;       0.000; 289.043;   28.00;   40697;   19.30; E0;
22/06/18;   18:32:30;       0.017; 289.311;   27.99;   40716;   19.30; E0;
22/06/18;   18:32:31;       0.034; 289.445;   27.99;   40703;   19.30; E0;
22/06/18;   18:32:32;       0.051; 289.647;   27.98;   40710;   19.30; E0;
22/06/18;   18:32:33;       0.068; 289.647;   27.98;   40716;   19.30; E0;
22/06/18;   18:32:34;       0.085; 289.647;   27.98;   40705;   19.30; E0;
22/06/18;   18:32:35;       0.102; 289.647;   27.98;   40692;   19.30; E0;
22/06/18;   18:32:36;       0.119; 289.782;   27.97;   40686;   19.30; E0;
22/06/18;   18:32:37;       0.136; 290.253;   27.96;   40694;   19.30; E0;
22/06/18;   18:32:38;       0.153; 290.320;   27.95;   40686;   19.30; E0;
22/06/18;   18:32:39;       0.170; 290.455;   27.95;   40674;   19.30; E0;
22/06/18;   18:32:40;       0.186; 290.253;   27.95;   40680;   19.30; E0;
22/06/18;   18:32:41;       0.203; 290.051;   27.96;   40661;   19.30; E0;
22/06/18;   18:32:42;       0.220; 289.782;   27.97;   40673;   19.30; E0;
22/06/18;   18:32:43;       0.237; 289.647;   27.98;   40648;   19.30; E0;
22/06/18;   18:32:44;       0.254; 289.580;   27.98;   40686;   19.30; E0;
22/06/18;   18:32:45;       0.271; 289.714;   27.98;   40655;   19.30; E0;
22/06/18;   18:32:46;       0.288; 289.849;   27.97;   40655;   19.30; E0;
22/06/18;   18:32:47;       0.305; 289.984;   27.97;   40661;   19.30; E0;
22/06/18;   18:32:48;       0.322; 290.118;   27.96;   40649;   19.30; E0;
22/06/18;   18:32:49;       0.339; 289.984;   27.97;   40643;   19.30; E0;
22/06/18;   18:32:50;       0.356; 290.186;   27.96;   40644;   19.30; E0;
22/06/18;   18:32:51;       0.373; 290.118;   27.96;   40643;   19.30; E0;
22/06/18;   18:32:52;       0.390; 290.455;   27.95;   40631;   19.30; E0;
22/06/18;   18:32:53;       0.406; 290.590;   27.94;   40624;   19.30; E0;
22/06/18;   18:32:54;       0.423; 290.523;   27.95;   40651;   19.30; E0;
22/06/18;   18:32:55;       0.440; 290.658;   27.94;   40637;   19.30; E0;
22/06/18;   18:32:56;       0.457; 290.051;   27.96;   40648;   19.30; E0;
22/06/18;   18:32:57;       0.474; 290.118;   27.96;   40631;   19.30; E0;
22/06/18;   18:32:58;       0.491; 290.118;   27.96;   40630;   19.30; E0;
22/06/18;   18:32:59;       0.508; 290.051;   27.96;   40637;   19.30; E0;
22/06/18;   18:33:00;       0.525; 290.253;   27.95;   40642;   19.30; E0;
22/06/18;   18:33:01;       0.542; 290.051;   27.96;   40643;   19.30; E0;
22/06/18;   18:33:02;       0.559; 290.253;   27.95;   40657;   19.30; E0;
22/06/18;   18:33:03;       0.576; 290.388;   27.95;   40613;   19.30; E0;
22/06/18;   18:33:04;       0.593; 290.523;   27.95;   40637;   19.30; E0;
22/06/18;   18:33:06;       0.610; 290.725;   27.94;   40620;   19.30; E0;
22/06/18;   18:33:07;       0.627; 290.523;   27.95;   40643;   19.30; E0;
22/06/18;   18:33:08;       0.643; 290.523;   27.95;   40618;   19.30; E0;
22/06/18;   18:33:09;       0.660; 290.658;   27.94;   40618;   19.30; E0;
22/06/18;   18:33:10;       0.677; 290.455;   27.95;   40637;   19.30; E0;
22/06/18;   18:33:11;       0.694; 290.388;   27.95;   40611;   19.30; E0;
22/06/18;   18:33:12;       0.711; 290.388;   27.95;   40631;   19.30; E0;
22/06/18;   18:33:13;       0.728; 290.523;   27.95;   40619;   19.30; E0;
22/06/18;   18:33:14;       0.745; 290.523;   27.95;   40630;   19.30; E0;
22/06/18;   18:33:15;       0.762; 290.523;   27.95;   40636;   19.30; E0;
22/06/18;   18:33:16;       0.779; 290.725;   27.94;   40652;   19.30; E0;
22/06/18;   18:33:17;       0.796; 290.455;   27.95;   40637;   19.30; E0;
22/06/18;   18:33:18;       0.813; 290.793;   27.94;   40625;   19.30; E0;
22/06/18;   18:33:19;       0.830; 290.793;   27.94;   40631;   19.30; E0;
22/06/18;   18:33:20;       0.847; 290.725;   27.94;   40606;   19.30; E0;
22/06/18;   18:33:21;       0.864; 290.928;   27.93;   40638;   19.30; E0;
22/06/18;   18:33:22;       0.881; 290.928;   27.93;   40632;   19.30; E0;
22/06/18;   18:33:23;       0.898; 290.996;   27.93;   40599;   19.30; E0;
22/06/18;   18:33:24;       0.915; 290.793;   27.94;   40618;   19.30; E0;
22/06/18;   18:33:25;       0.931; 290.928;   27.93;   40620;   19.30; E0;
22/06/18;   18:33:26;       0.948; 290.658;   27.94;   40630;   19.30; E0;
22/06/18;   18:33:27;       0.965; 290.523;   27.95;   40611;   19.30; E0;
22/06/18;   18:33:28;       0.982; 290.523;   27.95;   40625;   19.30; E0;
22/06/18;   18:33:29;       0.999; 290.118;   27.96;   40617;   19.30; E0;
22/06/18;   18:33:30;       1.016; 290.253;   27.96;   40632;   19.30; E0;
22/06/18;   18:33:31;       1.033; 290.523;   27.95;   40650;   19.30; E0;
