***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 66291;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 25.7 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.69 at 028.3°C amp 060400;
100.00%a.s.phase 2: 26.80 at 028.1°C amp 025200;
Date   (ddmmyy)   : 230618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
23/06/18;
6:28:51 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 6:28:51 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
23/06/18;   18:28:51;       0.000; 250.754;   26.59;    2703;   28.00; E0;
23/06/18;   18:28:52;       0.017; 251.477;   26.56;    2697;   28.00; E0;
23/06/18;   18:28:53;       0.034; 252.263;   26.53;    2703;   28.00; E0;
23/06/18;   18:28:54;       0.051; 251.417;   26.56;    2690;   28.00; E0;
23/06/18;   18:28:55;       0.068; 251.477;   26.56;    2697;   28.00; E0;
23/06/18;   18:28:56;       0.085; 252.203;   26.53;    2691;   28.00; E0;
23/06/18;   18:28:57;       0.102; 252.809;   26.50;    2704;   28.00; E0;
23/06/18;   18:28:58;       0.118; 256.054;   26.37;    2698;   28.00; E0;
23/06/18;   18:28:59;       0.135; 257.540;   26.31;    2704;   28.00; E0;
23/06/18;   18:29:00;       0.152; 256.548;   26.35;    2697;   28.00; E0;
23/06/18;   18:29:01;       0.169; 256.610;   26.35;    2698;   28.00; E0;
23/06/18;   18:29:02;       0.186; 254.946;   26.42;    2697;   28.00; E0;
23/06/18;   18:29:03;       0.203; 253.174;   26.49;    2703;   28.00; E0;
23/06/18;   18:29:04;       0.220; 254.211;   26.45;    2698;   28.00; E0;
23/06/18;   18:29:05;       0.237; 254.272;   26.45;    2698;   28.00; E0;
23/06/18;   18:29:06;       0.254; 255.008;   26.42;    2704;   28.00; E0;
23/06/18;   18:29:07;       0.271; 256.672;   26.35;    2704;   28.00; E0;
23/06/18;   18:29:08;       0.288; 256.486;   26.36;    2704;   28.00; E0;
23/06/18;   18:29:09;       0.305; 254.701;   26.43;    2703;   28.00; E0;
23/06/18;   18:29:10;       0.322; 252.931;   26.50;    2709;   28.00; E0;
23/06/18;   18:29:11;       0.339; 250.995;   26.58;    2722;   28.00; E0;
23/06/18;   18:29:12;       0.355; 249.316;   26.65;    2716;   28.00; E0;
23/06/18;   18:29:13;       0.372; 249.974;   26.62;    2710;   28.00; E0;
23/06/18;   18:29:14;       0.389; 251.417;   26.56;    2716;   28.00; E0;
23/06/18;   18:29:15;       0.406; 251.477;   26.56;    2722;   28.00; E0;
23/06/18;   18:29:16;       0.423; 252.203;   26.53;    2722;   28.00; E0;
23/06/18;   18:29:17;       0.440; 251.960;   26.54;    2729;   28.00; E0;
23/06/18;   18:29:18;       0.457; 251.839;   26.55;    2735;   28.00; E0;
23/06/18;   18:29:19;       0.474; 253.235;   26.49;    2735;   28.00; E0;
23/06/18;   18:29:20;       0.491; 253.905;   26.46;    2742;   28.00; E0;
23/06/18;   18:29:21;       0.508; 254.639;   26.43;    2735;   28.00; E0;
23/06/18;   18:29:22;       0.525; 253.844;   26.46;    2741;   28.00; E0;
23/06/18;   18:29:23;       0.542; 252.931;   26.50;    2747;   28.00; E0;
23/06/18;   18:29:24;       0.559; 252.870;   26.50;    2742;   28.00; E0;
23/06/18;   18:29:25;       0.576; 252.931;   26.50;    2748;   28.00; E0;
23/06/18;   18:29:26;       0.592; 253.600;   26.47;    2748;   28.00; E0;
23/06/18;   18:29:27;       0.609; 253.722;   26.47;    2741;   28.00; E0;
23/06/18;   18:29:28;       0.626; 254.578;   26.43;    2748;   28.00; E0;
23/06/18;   18:29:29;       0.643; 252.748;   26.51;    2753;   28.00; E0;
23/06/18;   18:29:30;       0.660; 252.702;   26.54;    2747;   27.90; E0;
23/06/18;   18:29:31;       0.677; 252.641;   26.55;    2754;   27.90; E0;
23/06/18;   18:29:32;       0.694; 252.520;   26.55;    2755;   27.90; E0;
23/06/18;   18:29:33;       0.711; 254.224;   26.48;    2754;   27.90; E0;
23/06/18;   18:29:34;       0.728; 254.102;   26.49;    2760;   27.90; E0;
23/06/18;   18:29:35;       0.745; 254.775;   26.46;    2760;   27.90; E0;
23/06/18;   18:29:37;       0.762; 253.858;   26.50;    2760;   27.90; E0;
23/06/18;   18:29:38;       0.779; 254.530;   26.47;    2773;   27.90; E0;
23/06/18;   18:29:39;       0.796; 255.511;   26.43;    2760;   27.90; E0;
23/06/18;   18:29:40;       0.813; 254.775;   26.46;    2760;   27.90; E0;
23/06/18;   18:29:41;       0.829; 254.591;   26.47;    2773;   27.90; E0;
23/06/18;   18:29:42;       0.846; 253.858;   26.50;    2754;   27.90; E0;
23/06/18;   18:29:43;       0.863; 254.591;   26.47;    2761;   27.90; E0;
23/06/18;   18:29:44;       0.880; 255.266;   26.44;    2767;   27.90; E0;
23/06/18;   18:29:45;       0.897; 255.388;   26.44;    2767;   27.90; E0;
23/06/18;   18:29:46;       0.914; 256.066;   26.41;    2773;   27.90; E0;
23/06/18;   18:29:47;       0.931; 254.530;   26.47;    2766;   27.90; E0;
23/06/18;   18:29:48;       0.948; 254.407;   26.48;    2773;   27.90; E0;
23/06/18;   18:29:49;       0.965; 255.081;   26.45;    2767;   27.90; E0;
23/06/18;   18:29:50;       0.982; 254.224;   26.48;    2779;   27.90; E0;
23/06/18;   18:29:51;       0.999; 254.714;   26.46;    2779;   27.90; E0;
23/06/18;   18:29:52;       1.016; 253.858;   26.50;    2785;   27.90; E0;
23/06/18;   18:29:53;       1.033; 254.714;   26.46;    2774;   27.90; E0;
23/06/18;   18:29:54;       1.050; 255.327;   26.44;    2786;   27.90; E0;
23/06/18;   18:29:55;       1.067; 255.388;   26.43;    2773;   27.90; E0;
23/06/18;   18:29:56;       1.084; 257.253;   26.39;    2779;   27.80; E0;
23/06/18;   18:29:57;       1.101; 254.728;   26.50;    2785;   27.80; E0;
23/06/18;   18:29:58;       1.117; 253.264;   26.56;    2785;   27.80; E0;
23/06/18;   18:29:59;       1.134; 252.234;   26.60;    2779;   27.80; E0;
23/06/18;   18:30:00;       1.152; 252.355;   26.59;    2767;   27.80; E0;
23/06/18;   18:30:01;       1.168; 252.415;   26.59;    2785;   27.80; E0;
23/06/18;   18:30:02;       1.185; 252.355;   26.60;    2785;   27.80; E0;
23/06/18;   18:30:03;       1.202; 254.117;   26.52;    2786;   27.80; E0;
23/06/18;   18:30:04;       1.219; 253.873;   26.53;    2792;   27.80; E0;
23/06/18;   18:30:05;       1.236; 253.690;   26.54;    2791;   27.80; E0;
23/06/18;   18:30:06;       1.253; 254.300;   26.52;    2798;   27.80; E0;
23/06/18;   18:30:07;       1.270; 254.300;   26.52;    2786;   27.80; E0;
23/06/18;   18:30:08;       1.287; 254.178;   26.52;    2792;   27.80; E0;
23/06/18;   18:30:09;       1.304; 254.973;   26.49;    2798;   27.80; E0;
23/06/18;   18:30:10;       1.321; 252.839;   26.57;    2784;   27.80; E0;
23/06/18;   18:30:11;       1.338; 251.871;   26.61;    2798;   27.80; E0;
23/06/18;   18:30:12;       1.355; 252.839;   26.57;    2792;   27.80; E0;
23/06/18;   18:30:13;       1.372; 251.992;   26.61;    2791;   27.80; E0;
23/06/18;   18:30:14;       1.389; 253.386;   26.55;    2791;   27.80; E0;
23/06/18;   18:30:15;       1.405; 253.264;   26.56;    2804;   27.80; E0;
23/06/18;   18:30:16;       1.422; 252.173;   26.60;    2804;   27.80; E0;
23/06/18;   18:30:17;       1.439; 252.718;   26.58;    2811;   27.80; E0;
23/06/18;   18:30:18;       1.456; 254.239;   26.52;    2799;   27.80; E0;
23/06/18;   18:30:19;       1.473; 252.657;   26.58;    2804;   27.80; E0;
23/06/18;   18:30:20;       1.490; 251.750;   26.62;    2804;   27.80; E0;
23/06/18;   18:30:21;       1.507; 251.811;   26.62;    2804;   27.80; E0;
23/06/18;   18:30:22;       1.524; 250.248;   26.68;    2804;   27.80; E0;
23/06/18;   18:30:23;       1.541; 251.028;   26.65;    2817;   27.80; E0;
23/06/18;   18:30:24;       1.558; 251.148;   26.64;    2798;   27.80; E0;
23/06/18;   18:30:25;       1.575; 252.052;   26.61;    2805;   27.80; E0;
23/06/18;   18:30:26;       1.592; 253.629;   26.54;    2805;   27.80; E0;
23/06/18;   18:30:27;       1.609; 254.483;   26.51;    2811;   27.80; E0;
23/06/18;   18:30:28;       1.626; 255.218;   26.48;    2804;   27.80; E0;
23/06/18;   18:30:29;       1.642; 253.751;   26.54;    2798;   27.80; E0;
23/06/18;   18:30:30;       1.659; 254.483;   26.51;    2818;   27.80; E0;
23/06/18;   18:30:31;       1.676; 254.361;   26.51;    2811;   27.80; E0;
23/06/18;   18:30:32;       1.693; 254.361;   26.51;    2804;   27.80; E0;
23/06/18;   18:30:33;       1.710; 254.117;   26.52;    2810;   27.80; E0;
23/06/18;   18:30:34;       1.727; 251.630;   26.63;    2817;   27.80; E0;
23/06/18;   18:30:35;       1.744; 250.188;   26.69;    2810;   27.80; E0;
23/06/18;   18:30:36;       1.761; 250.908;   26.66;    2817;   27.80; E0;
23/06/18;   18:30:37;       1.778; 251.630;   26.63;    2817;   27.80; E0;
23/06/18;   18:30:38;       1.795; 252.536;   26.59;    2811;   27.80; E0;
23/06/18;   18:30:39;       1.812; 253.143;   26.56;    2817;   27.80; E0;
23/06/18;   18:30:41;       1.829; 251.389;   26.64;    2823;   27.80; E0;
23/06/18;   18:30:42;       1.846; 249.949;   26.70;    2816;   27.80; E0;
23/06/18;   18:30:43;       1.863; 248.341;   26.76;    2816;   27.80; E0;
23/06/18;   18:30:44;       1.879; 248.341;   26.76;    2823;   27.80; E0;
23/06/18;   18:30:45;       1.896; 248.519;   26.76;    2817;   27.80; E0;
23/06/18;   18:30:46;       1.913; 249.292;   26.72;    2817;   27.80; E0;
23/06/18;   18:30:47;       1.930; 250.968;   26.65;    2823;   27.80; E0;
23/06/18;   18:30:48;       1.947; 252.355;   26.59;    2830;   27.80; E0;
23/06/18;   18:30:49;       1.964; 251.509;   26.63;    2829;   27.80; E0;
23/06/18;   18:30:50;       1.981; 250.548;   26.67;    2822;   27.80; E0;
23/06/18;   18:30:51;       1.998; 250.368;   26.68;    2823;   27.80; E0;
23/06/18;   18:30:52;       2.015; 249.710;   26.70;    2830;   27.80; E0;
23/06/18;   18:30:53;       2.032; 250.368;   26.68;    2835;   27.80; E0;
23/06/18;   18:30:54;       2.049; 251.932;   26.61;    2830;   27.80; E0;
23/06/18;   18:30:55;       2.066; 251.028;   26.65;    2823;   27.80; E0;
23/06/18;   18:30:56;       2.083; 250.128;   26.69;    2835;   27.80; E0;
23/06/18;   18:30:57;       2.099; 249.412;   26.72;    2829;   27.80; E0;
23/06/18;   18:30:58;       2.116; 247.631;   26.79;    2841;   27.80; E0;
23/06/18;   18:30:59;       2.133; 247.572;   26.80;    2835;   27.80; E0;
23/06/18;   18:31:00;       2.150; 247.572;   26.80;    2842;   27.80; E0;
23/06/18;   18:31:01;       2.167; 248.401;   26.76;    2835;   27.80; E0;
23/06/18;   18:31:02;       2.184; 248.519;   26.75;    2835;   27.80; E0;
23/06/18;   18:31:03;       2.201; 248.460;   26.76;    2842;   27.80; E0;
23/06/18;   18:31:04;       2.218; 249.173;   26.73;    2836;   27.80; E0;
23/06/18;   18:31:05;       2.235; 248.163;   26.77;    2848;   27.80; E0;
