Date & time of file creation	18/06/2018 9:12 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\18062018\New_20.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.32	26.63	0.00	100.00	28.00	28.00	0.000						
SDWD0003000199      , CH 2	1	59.32	26.63	0.00	100.00	28.00	28.00	0.000						
SDWD0003000199      , CH 3	1	59.32	26.63	0.00	100.00	28.00	28.00	0.000						
SDWD0003000199      , CH 4	1	59.32	26.63	0.00	100.00	28.00	28.00	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
18/06/2018 9:12:24 PM	3612165144	1013.00	25.86	27.88	108.0	26.52	27.88	101.3	26.66	27.88	99.9	26.76	27.88	99.0
18/06/2018 9:12:25 PM	3612165145	1013.00	25.66	27.88	110.1	26.55	27.88	101.0	26.65	27.88	100.0	26.81	27.88	98.5
18/06/2018 9:12:26 PM	3612165146	1013.00	26.07	27.88	105.8	26.51	27.88	101.4	26.67	27.88	99.8	26.75	27.88	99.1
18/06/2018 9:12:27 PM	3612165147	1013.00	25.93	27.88	107.2	26.50	27.88	101.5	26.68	27.88	99.7	26.81	27.88	98.5
18/06/2018 9:12:28 PM	3612165148	1013.00	25.86	27.89	107.9	26.53	27.89	101.2	26.67	27.89	99.8	26.77	27.89	98.9
18/06/2018 9:12:29 PM	3612165149	1013.00	25.92	27.88	107.3	26.55	27.88	101.0	26.66	27.88	99.9	26.75	27.88	99.1
18/06/2018 9:12:30 PM	3612165150	1013.00	26.00	27.89	106.5	26.51	27.89	101.3	26.64	27.89	100.1	26.78	27.89	98.8
18/06/2018 9:12:31 PM	3612165151	1013.00	25.91	27.88	107.4	26.53	27.88	101.2	26.63	27.88	100.2	26.76	27.88	99.0
18/06/2018 9:12:32 PM	3612165152	1013.00	25.82	27.88	108.4	26.52	27.88	101.3	26.65	27.88	100.0	26.81	27.88	98.5
18/06/2018 9:12:33 PM	3612165153	1013.00	25.89	27.88	107.6	26.54	27.88	101.1	26.63	27.88	100.2	26.78	27.88	98.8
18/06/2018 9:12:34 PM	3612165154	1013.00	25.91	27.88	107.4	26.52	27.88	101.3	26.64	27.88	100.1	26.79	27.88	98.7
18/06/2018 9:12:35 PM	3612165155	1013.00	25.86	27.88	108.0	26.52	27.88	101.3	26.65	27.88	100.0	26.77	27.88	98.9
