Date & time of file creation	10/06/2018 9:38 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\10062018\Old_7.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	60.06	28.45	0.00	100.00	18.60	18.60	0.000						
SDWD0003000199      , CH 2	1	60.06	28.45	0.00	100.00	18.60	18.60	0.000						
SDWD0003000199      , CH 3	1	60.06	28.45	0.00	100.00	18.60	18.60	0.000						
SDWD0003000199      , CH 4	1	60.06	28.45	0.00	100.00	18.60	18.60	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
10/06/2018 9:39:07 PM	3611475547	1013.00	29.35	18.60	92.1	29.06	18.60	94.6	28.81	18.60	96.8	28.75	18.60	97.3
10/06/2018 9:39:08 PM	3611475548	1013.00	29.33	18.60	92.3	29.07	18.60	94.5	28.83	18.60	96.6	28.76	18.60	97.2
10/06/2018 9:39:09 PM	3611475549	1013.00	29.36	18.61	92.0	29.10	18.61	94.2	28.80	18.61	96.8	28.74	18.61	97.4
10/06/2018 9:39:10 PM	3611475550	1013.00	29.32	18.61	92.4	29.07	18.61	94.5	28.84	18.61	96.5	28.75	18.61	97.3
10/06/2018 9:39:11 PM	3611475551	1013.00	29.31	18.60	92.5	29.09	18.60	94.3	28.78	18.60	97.0	28.73	18.60	97.5
10/06/2018 9:39:12 PM	3611475552	1013.00	29.36	18.61	92.0	29.10	18.61	94.2	28.80	18.61	96.8	28.72	18.61	97.5
10/06/2018 9:39:13 PM	3611475553	1013.00	29.34	18.60	92.2	29.07	18.60	94.5	28.87	18.60	96.2	28.71	18.60	97.6
10/06/2018 9:39:14 PM	3611475554	1013.00	29.34	18.60	92.2	29.07	18.60	94.5	28.82	18.60	96.7	28.74	18.60	97.4
10/06/2018 9:39:15 PM	3611475555	1013.00	29.34	18.60	92.2	29.04	18.60	94.7	28.78	18.60	97.0	28.72	18.60	97.6
10/06/2018 9:39:16 PM	3611475556	1013.00	29.34	18.60	92.2	29.09	18.60	94.3	28.82	18.60	96.7	28.73	18.60	97.5
10/06/2018 9:39:17 PM	3611475557	1013.00	29.34	18.60	92.2	29.08	18.60	94.4	28.82	18.60	96.7	28.71	18.60	97.6
10/06/2018 9:39:18 PM	3611475558	1013.00	29.35	18.61	92.1	29.07	18.61	94.5	28.82	18.61	96.6	28.72	18.61	97.5
10/06/2018 9:39:19 PM	3611475559	1013.00	29.34	18.60	92.2	29.09	18.60	94.3	28.80	18.60	96.8	28.75	18.60	97.3
10/06/2018 9:39:20 PM	3611475560	1013.00	29.34	18.61	92.2	29.08	18.61	94.4	28.85	18.61	96.4	28.71	18.61	97.6
