Date & time of file creation	9/06/2018 7:29 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\Old2.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	60.29	29.03	0.00	100.00	19.34	19.13	0.000						
S WOT 0041 000001   , CH 2	1	60.29	29.03	0.00	100.00	19.35	19.11	0.000						
S WOT 0041 000001   , CH 3	1	60.29	29.03	0.00	100.00	19.34	19.11	0.000						
S WOT 0041 000001   , CH 4	1	60.29	29.03	0.00	100.00	19.33	19.09	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
9/06/2018 7:29:26 PM	3611381366	1013.00	28.11	18.98	109.1	28.30	18.98	107.2	28.05	18.98	109.7	28.22	18.98	107.9
9/06/2018 7:29:27 PM	3611381367	1013.00	28.11	18.97	109.1	28.27	18.97	107.5	28.01	18.97	110.1	28.25	18.97	107.6
9/06/2018 7:29:28 PM	3611381368	1013.00	28.12	18.96	109.0	28.32	18.96	107.0	27.99	18.96	110.3	28.23	18.96	107.9
9/06/2018 7:29:29 PM	3611381369	1013.00	28.13	18.97	108.9	28.29	18.97	107.3	28.00	18.97	110.2	28.21	18.97	108.0
9/06/2018 7:29:30 PM	3611381370	1013.00	28.11	18.95	109.2	28.31	18.95	107.1	28.00	18.95	110.2	28.25	18.95	107.7
9/06/2018 7:29:31 PM	3611381371	1013.00	28.14	18.95	108.9	28.31	18.95	107.1	27.97	18.95	110.6	28.24	18.95	107.8
9/06/2018 7:29:32 PM	3611381372	1013.00	28.08	18.96	109.5	28.29	18.96	107.3	28.04	18.96	109.8	28.22	18.96	108.0
9/06/2018 7:29:33 PM	3611381373	1013.00	28.12	18.97	109.0	28.28	18.97	107.4	28.02	18.97	110.0	28.21	18.97	108.0
9/06/2018 7:29:34 PM	3611381374	1013.00	28.08	18.97	109.4	28.31	18.97	107.1	27.98	18.97	110.4	28.24	18.97	107.7
9/06/2018 7:29:35 PM	3611381375	1013.00	28.12	18.97	109.0	28.33	18.97	106.9	28.03	18.97	109.9	28.22	18.97	107.9
9/06/2018 7:29:36 PM	3611381376	1013.00	28.12	18.98	109.0	28.27	18.98	107.5	28.02	18.98	110.0	28.21	18.98	108.0
9/06/2018 7:29:37 PM	3611381377	1013.00	28.14	18.97	108.8	28.28	18.97	107.4	28.06	18.97	109.6	28.23	18.97	107.8
9/06/2018 7:29:38 PM	3611381378	1013.00	28.12	18.97	109.0	28.29	18.97	107.3	28.01	18.97	110.1	28.25	18.97	107.6
9/06/2018 7:29:39 PM	3611381379	1013.00	28.09	18.97	109.3	28.30	18.97	107.2	28.00	18.97	110.2	28.23	18.97	107.8
9/06/2018 7:29:40 PM	3611381380	1013.00	28.09	18.98	109.3	28.28	18.98	107.4	28.01	18.98	110.1	28.22	18.98	107.9
9/06/2018 7:29:41 PM	3611381381	1013.00	28.10	18.98	109.2	28.29	18.98	107.3	28.05	18.98	109.7	28.24	18.98	107.7
9/06/2018 7:29:42 PM	3611381382	1013.00	28.13	18.98	108.9	28.31	18.98	107.1	28.03	18.98	109.9	28.27	18.98	107.4
9/06/2018 7:29:43 PM	3611381383	1013.00	28.20	18.99	108.2	28.28	18.99	107.3	28.02	18.99	110.0	28.23	18.99	107.8
9/06/2018 7:29:44 PM	3611381384	1013.00	28.12	18.98	109.0	28.29	18.98	107.3	28.02	18.98	110.0	28.25	18.98	107.6
9/06/2018 7:29:45 PM	3611381385	1013.00	28.14	18.97	108.8	28.32	18.97	107.0	28.10	18.97	109.2	28.21	18.97	108.0
9/06/2018 7:29:46 PM	3611381386	1013.00	28.11	18.97	109.1	28.32	18.97	107.0	28.03	18.97	109.9	28.25	18.97	107.6
9/06/2018 7:29:47 PM	3611381387	1013.00	28.10	18.97	109.2	28.33	18.97	106.9	28.04	18.97	109.8	28.23	18.97	107.8
9/06/2018 7:29:48 PM	3611381388	1013.00	28.15	18.96	108.7	28.28	18.96	107.4	28.10	18.96	109.2	28.23	18.96	107.9
9/06/2018 7:29:49 PM	3611381389	1013.00	28.12	18.97	109.0	28.33	18.97	106.9	28.07	18.97	109.5	28.20	18.97	108.1
9/06/2018 7:29:50 PM	3611381390	1013.00	28.12	18.97	109.0	28.34	18.97	106.8	28.04	18.97	109.8	28.22	18.97	107.9
9/06/2018 7:29:51 PM	3611381391	1013.00	28.14	18.98	108.8	28.33	18.98	106.9	28.04	18.98	109.8	28.25	18.98	107.6
9/06/2018 7:29:52 PM	3611381392	1013.00	28.12	18.98	109.0	28.32	18.98	107.0	28.11	18.98	109.1	28.23	18.98	107.8
9/06/2018 7:29:53 PM	3611381393	1013.00	28.12	18.99	109.0	28.33	18.99	106.9	28.04	18.99	109.8	28.24	18.99	107.7
9/06/2018 7:29:54 PM	3611381394	1013.00	28.14	18.99	108.8	28.32	18.99	107.0	28.08	18.99	109.4	28.24	18.99	107.7
9/06/2018 7:29:55 PM	3611381395	1013.00	28.16	18.99	108.6	28.28	18.99	107.3	28.04	18.99	109.8	28.26	18.99	107.5
9/06/2018 7:29:56 PM	3611381396	1013.00	28.11	18.99	109.1	28.31	18.99	107.1	28.04	18.99	109.8	28.22	18.99	107.9
9/06/2018 7:29:57 PM	3611381397	1013.00	28.13	18.98	108.9	28.34	18.98	106.8	28.08	18.98	109.4	28.23	18.98	107.8
9/06/2018 7:29:58 PM	3611381398	1013.00	28.16	18.97	108.6	28.30	18.97	107.2	28.07	18.97	109.5	28.20	18.97	108.1
9/06/2018 7:29:59 PM	3611381399	1013.00	28.13	18.98	108.9	28.34	18.98	106.8	28.09	18.98	109.3	28.21	18.98	108.0
9/06/2018 7:30:00 PM	3611381400	1013.00	28.12	18.96	109.0	28.34	18.96	106.8	28.07	18.96	109.5	28.25	18.96	107.7
9/06/2018 7:30:01 PM	3611381401	1013.00	28.11	18.97	109.1	28.31	18.97	107.1	28.10	18.97	109.2	28.23	18.97	107.8
9/06/2018 7:30:02 PM	3611381402	1013.00	28.09	18.96	109.4	28.32	18.96	107.0	28.04	18.96	109.8	28.22	18.96	108.0
9/06/2018 7:30:03 PM	3611381403	1013.00	28.13	18.96	108.9	28.26	18.96	107.6	28.06	18.96	109.6	28.22	18.96	108.0
9/06/2018 7:30:04 PM	3611381404	1013.00	28.15	18.96	108.7	28.33	18.96	106.9	28.07	18.96	109.5	28.21	18.96	108.1
9/06/2018 7:30:05 PM	3611381405	1013.00	28.12	18.98	109.0	28.31	18.98	107.1	28.08	18.98	109.4	28.22	18.98	107.9
9/06/2018 7:30:06 PM	3611381406	1013.00	28.13	18.97	108.9	28.31	18.97	107.1	28.08	18.97	109.4	28.23	18.97	107.8
9/06/2018 7:30:07 PM	3611381407	1013.00	28.15	18.98	108.7	28.32	18.98	107.0	28.09	18.98	109.3	28.22	18.98	107.9
9/06/2018 7:30:08 PM	3611381408	1013.00	28.11	18.99	109.1	28.30	18.99	107.2	28.09	18.99	109.3	28.25	18.99	107.6
9/06/2018 7:30:09 PM	3611381409	1013.00	28.12	18.98	109.0	28.31	18.98	107.1	28.13	18.98	108.9	28.27	18.98	107.4
9/06/2018 7:30:10 PM	3611381410	1013.00	28.13	18.98	108.9	28.33	18.98	106.9	28.10	18.98	109.2	28.21	18.98	108.0
9/06/2018 7:30:11 PM	3611381411	1013.00	28.13	18.98	108.9	28.33	18.98	106.9	28.07	18.98	109.5	28.22	18.98	107.9
9/06/2018 7:30:12 PM	3611381412	1013.00	28.11	18.98	109.1	28.34	18.98	106.8	28.08	18.98	109.4	28.24	18.98	107.7
9/06/2018 7:30:13 PM	3611381413	1013.00	28.10	18.97	109.2	28.32	18.97	107.0	28.11	18.97	109.1	28.25	18.97	107.6
9/06/2018 7:30:14 PM	3611381414	1013.00	28.12	18.97	109.0	28.35	18.97	106.7	28.11	18.97	109.1	28.22	18.97	107.9
9/06/2018 7:30:15 PM	3611381415	1013.00	28.15	18.97	108.7	28.30	18.97	107.2	28.08	18.97	109.4	28.21	18.97	108.0
9/06/2018 7:30:16 PM	3611381416	1013.00	28.12	18.97	109.0	28.35	18.97	106.7	28.08	18.97	109.4	28.27	18.97	107.4
9/06/2018 7:30:17 PM	3611381417	1013.00	28.14	18.97	108.8	28.29	18.97	107.3	28.09	18.97	109.3	28.24	18.97	107.7
9/06/2018 7:30:18 PM	3611381418	1013.00	28.14	18.97	108.8	28.33	18.97	106.9	28.10	18.97	109.2	28.24	18.97	107.7
9/06/2018 7:30:19 PM	3611381419	1013.00	28.12	18.97	109.0	28.31	18.97	107.1	28.10	18.97	109.2	28.25	18.97	107.6
9/06/2018 7:30:20 PM	3611381420	1013.00	28.15	18.97	108.7	28.29	18.97	107.3	28.07	18.97	109.5	28.22	18.97	107.9
9/06/2018 7:30:21 PM	3611381421	1013.00	28.14	18.96	108.8	28.32	18.96	107.0	28.02	18.96	110.0	28.24	18.96	107.8
