Date & time of file creation	18/06/2018 9:12 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\18062018\New_20.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.70	27.12	0.00	100.00	28.00	28.00	0.000						
S WOT 0041 000001   , CH 2	1	59.70	27.12	0.00	100.00	28.00	28.00	0.000						
S WOT 0041 000001   , CH 3	1	59.70	27.12	0.00	100.00	28.00	28.00	0.000						
S WOT 0041 000001   , CH 4	1	59.70	27.12	0.00	100.00	28.00	28.00	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
18/06/2018 9:12:22 PM	3612165142	1013.00	27.32	28.04	98.1	27.65	28.04	95.1	27.22	28.04	99.0	27.00	28.04	101.1
18/06/2018 9:12:23 PM	3612165143	1013.00	27.28	28.04	98.4	27.63	28.04	95.2	27.19	28.04	99.3	26.98	28.04	101.3
18/06/2018 9:12:24 PM	3612165144	1013.00	27.32	28.04	98.1	27.68	28.04	94.8	27.23	28.04	98.9	27.00	28.04	101.1
18/06/2018 9:12:25 PM	3612165145	1013.00	27.34	28.04	97.9	27.66	28.04	95.0	27.24	28.04	98.8	26.98	28.04	101.3
18/06/2018 9:12:26 PM	3612165146	1013.00	27.32	28.04	98.1	27.64	28.04	95.2	27.21	28.04	99.1	26.98	28.04	101.3
18/06/2018 9:12:27 PM	3612165147	1013.00	27.32	28.04	98.1	27.67	28.04	94.9	27.23	28.04	98.9	26.97	28.04	101.4
18/06/2018 9:12:28 PM	3612165148	1013.00	27.31	28.05	98.1	27.61	28.05	95.4	27.21	28.05	99.1	26.99	28.05	101.2
18/06/2018 9:12:29 PM	3612165149	1013.00	27.30	28.06	98.2	27.66	28.06	94.9	27.21	28.06	99.0	26.99	28.06	101.1
18/06/2018 9:12:30 PM	3612165150	1013.00	27.32	28.05	98.0	27.68	28.05	94.8	27.20	28.05	99.2	26.99	28.05	101.2
18/06/2018 9:12:31 PM	3612165151	1013.00	27.31	28.06	98.1	27.65	28.06	95.0	27.20	28.06	99.1	27.01	28.06	100.9
18/06/2018 9:12:32 PM	3612165152	1013.00	27.34	28.05	97.9	27.66	28.05	95.0	27.20	28.05	99.2	27.01	28.05	101.0
18/06/2018 9:12:33 PM	3612165153	1013.00	27.34	28.04	97.9	27.63	28.04	95.2	27.20	28.04	99.2	27.01	28.04	101.0
18/06/2018 9:12:34 PM	3612165154	1013.00	27.32	28.04	98.1	27.65	28.04	95.1	27.20	28.04	99.2	27.02	28.04	100.9
18/06/2018 9:12:35 PM	3612165155	1013.00	27.30	28.04	98.2	27.70	28.04	94.6	27.17	28.04	99.5	27.02	28.04	100.9
18/06/2018 9:12:36 PM	3612165156	1013.00	27.31	28.03	98.2	27.69	28.03	94.7	27.22	28.03	99.0	27.00	28.03	101.1
18/06/2018 9:12:37 PM	3612165157	1013.00	27.30	28.02	98.3	27.65	28.02	95.1	27.21	28.02	99.1	26.96	28.02	101.5
18/06/2018 9:12:38 PM	3612165158	1013.00	27.33	27.95	98.1	27.70	27.95	94.8	27.23	27.95	99.0	26.96	27.95	101.6
18/06/2018 9:12:39 PM	3612165159	1013.00	27.30	27.86	98.5	27.67	27.86	95.2	27.19	27.86	99.6	27.00	27.86	101.4
18/06/2018 9:12:40 PM	3612165160	1013.00	27.32	27.72	98.6	27.69	27.72	95.2	27.22	27.72	99.5	27.01	27.72	101.5
18/06/2018 9:12:41 PM	3612165161	1013.00	27.30	27.58	99.0	27.68	27.58	95.5	27.21	27.58	99.9	26.98	27.58	102.1
18/06/2018 9:12:42 PM	3612165162	1013.00	27.31	27.46	99.1	27.70	27.46	95.6	27.27	27.46	99.5	26.99	27.46	102.2
18/06/2018 9:12:43 PM	3612165163	1013.00	27.31	27.43	99.2	27.68	27.43	95.8	27.22	27.43	100.0	27.00	27.43	102.1
18/06/2018 9:12:44 PM	3612165164	1013.00	27.32	27.45	99.1	27.73	27.45	95.3	27.19	27.45	100.3	27.00	27.45	102.1
18/06/2018 9:12:45 PM	3612165165	1013.00	27.33	27.52	98.8	27.70	27.52	95.5	27.22	27.52	99.9	26.98	27.52	102.2
18/06/2018 9:12:46 PM	3612165166	1013.00	27.29	27.61	99.1	27.67	27.61	95.6	27.21	27.61	99.8	26.99	27.61	101.9
18/06/2018 9:12:47 PM	3612165167	1013.00	27.30	27.68	98.9	27.72	27.68	95.0	27.24	27.68	99.4	27.00	27.68	101.7
18/06/2018 9:12:48 PM	3612165168	1013.00	27.30	27.74	98.8	27.72	27.74	94.9	27.23	27.74	99.4	27.01	27.74	101.5
18/06/2018 9:12:49 PM	3612165169	1013.00	27.33	27.78	98.4	27.69	27.78	95.1	27.17	27.78	99.9	27.01	27.78	101.4
18/06/2018 9:12:50 PM	3612165170	1013.00	27.29	27.83	98.7	27.70	27.83	95.0	27.22	27.83	99.3	26.98	27.83	101.6
18/06/2018 9:12:51 PM	3612165171	1013.00	27.31	27.86	98.5	27.76	27.86	94.4	27.22	27.86	99.3	27.01	27.86	101.3
18/06/2018 9:12:52 PM	3612165172	1013.00	27.29	27.89	98.6	27.77	27.89	94.2	27.18	27.89	99.6	27.03	27.89	101.0
18/06/2018 9:12:53 PM	3612165173	1013.00	27.29	27.92	98.5	27.72	27.92	94.6	27.24	27.92	99.0	27.00	27.92	101.3
18/06/2018 9:12:54 PM	3612165174	1013.00	27.31	27.94	98.3	27.69	27.94	94.9	27.24	27.94	99.0	27.00	27.94	101.2
18/06/2018 9:12:55 PM	3612165175	1013.00	27.30	27.95	98.4	27.72	27.95	94.6	27.26	27.95	98.8	26.99	27.95	101.3
18/06/2018 9:12:56 PM	3612165176	1013.00	27.32	27.96	98.2	27.73	27.96	94.5	27.19	27.96	99.4	27.01	27.96	101.1
18/06/2018 9:12:57 PM	3612165177	1013.00	27.31	27.98	98.3	27.73	27.98	94.5	27.21	27.98	99.2	26.97	27.98	101.5
18/06/2018 9:12:58 PM	3612165178	1013.00	27.29	27.99	98.4	27.73	27.99	94.4	27.20	27.99	99.3	26.98	27.99	101.4
18/06/2018 9:12:59 PM	3612165179	1013.00	27.32	28.00	98.1	27.70	28.00	94.7	27.19	28.00	99.3	27.00	28.00	101.1
18/06/2018 9:13:00 PM	3612165180	1013.00	27.30	28.01	98.3	27.75	28.01	94.2	27.18	28.01	99.4	27.00	28.01	101.1
18/06/2018 9:13:01 PM	3612165181	1013.00	27.32	28.01	98.1	27.76	28.01	94.1	27.20	28.01	99.2	27.01	28.01	101.0
18/06/2018 9:13:02 PM	3612165182	1013.00	27.31	28.02	98.2	27.76	28.02	94.1	27.26	28.02	98.7	26.97	28.02	101.4
18/06/2018 9:13:03 PM	3612165183	1013.00	27.31	28.02	98.2	27.74	28.02	94.3	27.22	28.02	99.0	27.01	28.02	101.0
18/06/2018 9:13:04 PM	3612165184	1013.00	27.30	28.02	98.3	27.74	28.02	94.3	27.22	28.02	99.0	27.03	28.02	100.8
18/06/2018 9:13:05 PM	3612165185	1013.00	27.31	28.03	98.2	27.67	28.03	94.9	27.24	28.03	98.8	27.00	28.03	101.1
18/06/2018 9:13:06 PM	3612165186	1013.00	27.31	28.03	98.2	27.73	28.03	94.4	27.23	28.03	98.9	26.99	28.03	101.2
18/06/2018 9:13:07 PM	3612165187	1013.00	27.32	28.03	98.1	27.73	28.03	94.4	27.24	28.03	98.8	27.05	28.03	100.6
18/06/2018 9:13:08 PM	3612165188	1013.00	27.30	28.04	98.2	27.72	28.04	94.4	27.20	28.04	99.2	27.02	28.04	100.9
18/06/2018 9:13:09 PM	3612165189	1013.00	27.29	28.04	98.3	27.69	28.04	94.7	27.23	28.04	98.9	27.00	28.04	101.1
