Date & time of file creation	10/06/2018 7:52 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\10062018\Old_5.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.67	27.50	0.00	100.00	27.64	27.66	0.000						
S WOT 0041 000001   , CH 2	1	59.67	27.50	0.00	100.00	27.64	27.66	0.000						
S WOT 0041 000001   , CH 3	1	59.67	27.50	0.00	100.00	27.30	27.66	0.000						
S WOT 0041 000001   , CH 4	1	59.67	27.50	0.00	100.00	27.64	27.66	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
10/06/2018 7:53:04 PM	3611469184	1013.00	26.95	28.01	104.7	27.20	28.01	102.2	27.10	28.01	103.2	NaN	28.01	NaN
10/06/2018 7:53:05 PM	3611469185	1013.00	26.92	28.01	105.0	27.21	28.01	102.1	27.10	28.01	103.2	NaN	28.01	NaN
10/06/2018 7:53:06 PM	3611469186	1013.00	26.94	28.02	104.8	27.21	28.02	102.1	27.07	28.02	103.5	NaN	28.02	NaN
10/06/2018 7:53:07 PM	3611469187	1013.00	26.93	28.02	104.9	27.20	28.02	102.2	27.08	28.02	103.4	NaN	28.02	NaN
10/06/2018 7:53:08 PM	3611469188	1013.00	26.93	28.02	104.9	27.22	28.02	102.0	27.08	28.02	103.4	NaN	28.02	NaN
10/06/2018 7:53:09 PM	3611469189	1013.00	26.92	28.02	105.0	27.18	28.02	102.4	27.06	28.02	103.6	NaN	28.02	NaN
10/06/2018 7:53:10 PM	3611469190	1013.00	26.93	28.02	104.9	27.20	28.02	102.2	27.11	28.02	103.1	NaN	28.02	NaN
10/06/2018 7:53:11 PM	3611469191	1013.00	26.94	28.01	104.8	27.19	28.01	102.3	27.07	28.01	103.5	NaN	28.01	NaN
10/06/2018 7:53:12 PM	3611469192	1013.00	26.92	28.01	105.0	27.20	28.01	102.2	27.05	28.01	103.7	NaN	28.01	NaN
10/06/2018 7:53:13 PM	3611469193	1013.00	26.94	28.01	104.8	27.19	28.01	102.3	27.06	28.01	103.6	NaN	28.01	NaN
10/06/2018 7:53:14 PM	3611469194	1013.00	26.92	28.01	105.0	27.22	28.01	102.0	27.09	28.01	103.3	NaN	28.01	NaN
10/06/2018 7:53:15 PM	3611469195	1013.00	26.91	28.01	105.1	27.20	28.01	102.2	27.09	28.01	103.3	NaN	28.01	NaN
10/06/2018 7:53:16 PM	3611469196	1013.00	26.94	28.01	104.8	27.17	28.01	102.5	27.08	28.01	103.4	NaN	28.01	NaN
10/06/2018 7:53:17 PM	3611469197	1013.00	26.90	28.00	105.2	27.20	28.00	102.3	27.08	28.00	103.4	NaN	28.00	NaN
10/06/2018 7:53:18 PM	3611469198	1013.00	26.93	27.99	104.9	27.23	27.99	102.0	27.05	27.99	103.7	NaN	27.99	NaN
10/06/2018 7:53:19 PM	3611469199	1013.00	26.93	28.00	104.9	27.23	28.00	102.0	27.07	28.00	103.5	NaN	28.00	NaN
10/06/2018 7:53:20 PM	3611469200	1013.00	26.93	27.99	104.9	27.19	27.99	102.4	27.08	27.99	103.4	NaN	27.99	NaN
10/06/2018 7:53:21 PM	3611469201	1013.00	26.91	28.00	105.1	27.23	28.00	102.0	27.11	28.00	103.1	NaN	28.00	NaN
10/06/2018 7:53:22 PM	3611469202	1013.00	26.92	28.00	105.0	27.22	28.00	102.1	27.06	28.00	103.6	NaN	28.00	NaN
10/06/2018 7:53:23 PM	3611469203	1013.00	26.93	28.00	104.9	27.24	28.00	101.9	27.08	28.00	103.4	NaN	28.00	NaN
10/06/2018 7:53:24 PM	3611469204	1013.00	26.94	27.99	104.8	27.16	27.99	102.7	27.08	27.99	103.4	NaN	27.99	NaN
10/06/2018 7:53:25 PM	3611469205	1013.00	26.94	27.99	104.8	27.19	27.99	102.4	27.08	27.99	103.4	NaN	27.99	NaN
10/06/2018 7:53:26 PM	3611469206	1013.00	26.91	27.99	105.1	27.19	27.99	102.4	27.05	27.99	103.7	NaN	27.99	NaN
