Date & time of file creation	9/06/2018 9:02 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\new_4.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	60.04	28.47	0.00	100.00	19.08	18.86	0.000						
SDWD0003000199      , CH 2	1	60.04	28.47	0.00	100.00	19.08	18.86	0.000						
SDWD0003000199      , CH 3	1	60.04	28.47	0.00	100.00	19.07	18.85	0.000						
SDWD0003000199      , CH 4	1	60.04	28.47	0.00	100.00	19.07	18.84	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
9/06/2018 9:02:58 PM	3611386978	1013.00	25.94	27.76	108.6	26.52	27.76	102.7	26.41	27.76	103.8	26.15	27.76	106.4
9/06/2018 9:02:59 PM	3611386979	1013.00	26.00	27.76	108.0	26.50	27.76	102.9	26.44	27.76	103.5	26.16	27.76	106.3
9/06/2018 9:03:00 PM	3611386980	1013.00	25.95	27.76	108.5	26.48	27.76	103.1	26.39	27.76	104.0	26.15	27.76	106.4
9/06/2018 9:03:01 PM	3611386981	1013.00	25.94	27.76	108.6	26.49	27.76	103.0	26.45	27.76	103.4	26.16	27.76	106.3
9/06/2018 9:03:02 PM	3611386982	1013.00	25.97	27.76	108.3	26.48	27.76	103.1	26.38	27.76	104.1	26.18	27.76	106.1
