Date & time of file creation	17/06/2018 7:33 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\17062018\New_15.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.43	28.43	0.00	100.00	19.00	19.00	0.000						
SDWD0003000199      , CH 2	1	59.43	28.43	0.00	100.00	19.00	19.00	0.000						
SDWD0003000199      , CH 3	1	59.43	28.43	0.00	100.00	19.00	19.00	0.000						
SDWD0003000199      , CH 4	1	59.43	28.43	0.00	100.00	19.00	19.00	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
17/06/2018 7:34:07 PM	3612072847	1013.00	29.23	18.92	93.1	28.88	18.92	96.1	28.26	18.92	101.7	28.57	18.92	98.9
17/06/2018 7:34:08 PM	3612072848	1013.00	29.26	18.92	92.8	28.81	18.92	96.7	28.25	18.92	101.8	28.56	18.92	99.0
17/06/2018 7:34:09 PM	3612072849	1013.00	29.22	18.92	93.2	28.84	18.92	96.4	28.24	18.92	101.9	28.52	18.92	99.3
17/06/2018 7:34:10 PM	3612072850	1013.00	29.29	18.92	92.6	28.80	18.92	96.8	28.24	18.92	101.9	28.54	18.92	99.1
17/06/2018 7:34:11 PM	3612072851	1013.00	29.23	18.92	93.1	28.86	18.92	96.3	28.25	18.92	101.8	28.57	18.92	98.9
17/06/2018 7:34:12 PM	3612072852	1013.00	29.30	18.92	92.5	28.86	18.92	96.3	28.22	18.92	102.1	28.55	18.92	99.0
17/06/2018 7:34:13 PM	3612072853	1013.00	29.20	18.92	93.3	28.83	18.92	96.5	28.21	18.92	102.2	28.57	18.92	98.9
17/06/2018 7:34:14 PM	3612072854	1013.00	29.27	18.91	92.8	28.88	18.91	96.1	28.11	18.91	103.2	28.50	18.91	99.5
17/06/2018 7:34:15 PM	3612072855	1013.00	29.28	18.91	92.7	28.83	18.91	96.6	28.13	18.91	103.0	28.51	18.91	99.4
17/06/2018 7:34:16 PM	3612072856	1013.00	29.27	18.91	92.8	28.79	18.91	96.9	28.24	18.91	101.9	28.53	18.91	99.2
17/06/2018 7:34:17 PM	3612072857	1013.00	29.24	18.91	93.0	28.81	18.91	96.7	28.32	18.91	101.2	28.53	18.91	99.2
17/06/2018 7:34:18 PM	3612072858	1013.00	29.23	18.91	93.1	28.87	18.91	96.2	28.27	18.91	101.7	28.53	18.91	99.2
17/06/2018 7:34:19 PM	3612072859	1013.00	29.24	18.91	93.0	28.83	18.91	96.6	28.19	18.91	102.4	28.49	18.91	99.6
17/06/2018 7:34:20 PM	3612072860	1013.00	29.20	18.91	93.4	28.80	18.91	96.8	28.15	18.91	102.8	28.52	18.91	99.3
17/06/2018 7:34:21 PM	3612072861	1013.00	29.25	18.91	92.9	28.81	18.91	96.7	28.27	18.91	101.7	28.53	18.91	99.2
17/06/2018 7:34:22 PM	3612072862	1013.00	29.29	18.91	92.6	28.81	18.91	96.7	28.24	18.91	101.9	28.51	18.91	99.4
17/06/2018 7:34:23 PM	3612072863	1013.00	29.25	18.91	92.9	28.84	18.91	96.5	28.25	18.91	101.8	28.54	18.91	99.2
17/06/2018 7:34:24 PM	3612072864	1013.00	29.25	18.92	92.9	28.81	18.92	96.7	28.19	18.92	102.4	28.55	18.92	99.0
17/06/2018 7:34:25 PM	3612072865	1013.00	29.25	18.92	92.9	28.81	18.92	96.7	28.22	18.92	102.1	28.49	18.92	99.6
17/06/2018 7:34:26 PM	3612072866	1013.00	29.21	18.92	93.3	28.82	18.92	96.6	28.11	18.92	103.2	28.54	18.92	99.1
17/06/2018 7:34:27 PM	3612072867	1013.00	29.23	18.92	93.1	28.80	18.92	96.8	28.20	18.92	102.3	28.54	18.92	99.1
17/06/2018 7:34:28 PM	3612072868	1013.00	29.25	18.92	92.9	28.84	18.92	96.4	28.17	18.92	102.6	28.54	18.92	99.1
17/06/2018 7:34:29 PM	3612072869	1013.00	29.19	18.92	93.4	28.82	18.92	96.6	28.14	18.92	102.9	28.53	18.92	99.2
17/06/2018 7:34:30 PM	3612072870	1013.00	29.22	18.92	93.2	28.76	18.92	97.2	28.23	18.92	102.0	28.57	18.92	98.9
