Date & time of file creation	18/06/2018 9:23 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\18062018\New_19_2.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.32	26.63	0.00	100.00	28.00	28.00	0.000						
SDWD0003000199      , CH 2	1	59.32	26.63	0.00	100.00	28.00	28.00	0.000						
SDWD0003000199      , CH 3	1	59.32	26.63	0.00	100.00	28.00	28.00	0.000						
SDWD0003000199      , CH 4	1	59.32	26.63	0.00	100.00	28.00	28.00	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
18/06/2018 9:23:28 PM	3612165808	1013.00	NaN	27.86	NaN	27.30	27.86	94.0	26.81	27.86	98.5	27.10	27.86	95.8
18/06/2018 9:23:29 PM	3612165809	1013.00	NaN	27.86	NaN	27.26	27.86	94.4	26.83	27.86	98.3	27.15	27.86	95.4
18/06/2018 9:23:30 PM	3612165810	1013.00	NaN	27.86	NaN	27.27	27.86	94.3	27.02	27.86	96.6	27.06	27.86	96.2
18/06/2018 9:23:31 PM	3612165811	1013.00	NaN	27.86	NaN	27.31	27.86	94.0	26.89	27.86	97.8	27.11	27.86	95.8
18/06/2018 9:23:32 PM	3612165812	1013.00	NaN	27.86	NaN	27.25	27.86	94.5	26.87	27.86	98.0	27.10	27.86	95.8
18/06/2018 9:23:33 PM	3612165813	1013.00	NaN	27.86	NaN	27.21	27.86	94.8	26.83	27.86	98.3	27.17	27.86	95.2
18/06/2018 9:23:34 PM	3612165814	1013.00	NaN	27.86	NaN	27.25	27.86	94.5	26.91	27.86	97.6	27.13	27.86	95.6
18/06/2018 9:23:35 PM	3612165815	1013.00	NaN	27.86	NaN	27.25	27.86	94.5	26.93	27.86	97.4	27.16	27.86	95.3
18/06/2018 9:23:36 PM	3612165816	1013.00	NaN	27.86	NaN	27.29	27.86	94.1	26.91	27.86	97.6	27.13	27.86	95.6
18/06/2018 9:23:37 PM	3612165817	1013.00	NaN	27.86	NaN	27.33	27.86	93.8	26.88	27.86	97.9	27.10	27.86	95.8
18/06/2018 9:23:38 PM	3612165818	1013.00	NaN	27.86	NaN	27.26	27.86	94.4	26.91	27.86	97.6	27.07	27.86	96.1
18/06/2018 9:23:39 PM	3612165819	1013.00	NaN	27.85	NaN	27.30	27.85	94.1	27.04	27.85	96.4	27.11	27.85	95.8
