Date & time of file creation	9/06/2018 7:27 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\New_2.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	60.04	28.47	0.00	100.00	19.08	18.86	0.000						
SDWD0003000199      , CH 2	1	60.04	28.47	0.00	100.00	19.08	18.86	0.000						
SDWD0003000199      , CH 3	1	60.04	28.47	0.00	100.00	19.07	18.85	0.000						
SDWD0003000199      , CH 4	1	60.04	28.47	0.00	100.00	19.07	18.84	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
9/06/2018 7:28:05 PM	3611381285	1013.00	27.43	18.74	110.4	27.75	18.74	107.1	27.56	18.74	109.0	27.70	18.74	107.6
9/06/2018 7:28:06 PM	3611381286	1013.00	27.40	18.73	110.7	27.76	18.73	107.1	27.53	18.73	109.4	27.71	18.73	107.5
9/06/2018 7:28:07 PM	3611381287	1013.00	27.43	18.73	110.4	27.73	18.73	107.4	27.52	18.73	109.5	27.74	18.73	107.2
9/06/2018 7:28:08 PM	3611381288	1013.00	27.43	18.73	110.4	27.75	18.73	107.2	27.51	18.73	109.6	27.69	18.73	107.7
9/06/2018 7:28:09 PM	3611381289	1013.00	27.40	18.73	110.7	27.74	18.73	107.3	27.56	18.73	109.1	27.71	18.73	107.5
