Date & time of file creation	9/06/2018 9:03 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\Old4.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	60.29	29.03	0.00	100.00	19.34	19.13	0.000						
S WOT 0041 000001   , CH 2	1	60.29	29.03	0.00	100.00	19.35	19.11	0.000						
S WOT 0041 000001   , CH 3	1	60.29	29.03	0.00	100.00	19.34	19.11	0.000						
S WOT 0041 000001   , CH 4	1	60.29	29.03	0.00	100.00	19.33	19.09	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
9/06/2018 9:04:05 PM	3611387045	1013.00	27.98	27.98	93.9	26.93	27.98	103.7	26.64	27.98	106.6	26.83	27.98	104.6
9/06/2018 9:04:06 PM	3611387046	1013.00	27.98	27.98	93.9	26.96	27.98	103.4	26.73	27.98	105.7	26.82	27.98	104.7
9/06/2018 9:04:07 PM	3611387047	1013.00	27.95	27.98	94.2	26.94	27.98	103.6	26.69	27.98	106.1	26.81	27.98	104.8
9/06/2018 9:04:08 PM	3611387048	1013.00	27.96	27.97	94.1	26.93	27.97	103.7	26.70	27.97	106.0	26.82	27.97	104.7
9/06/2018 9:04:09 PM	3611387049	1013.00	27.96	27.97	94.1	26.99	27.97	103.1	26.69	27.97	106.1	26.84	27.97	104.5
9/06/2018 9:04:10 PM	3611387050	1013.00	27.98	27.97	94.0	26.92	27.97	103.8	26.65	27.97	106.5	26.81	27.97	104.8
9/06/2018 9:04:11 PM	3611387051	1013.00	27.93	27.96	94.4	26.91	27.96	103.9	26.67	27.96	106.3	26.85	27.96	104.5
9/06/2018 9:04:12 PM	3611387052	1013.00	27.93	27.96	94.4	26.95	27.96	103.5	26.65	27.96	106.5	26.80	27.96	105.0
9/06/2018 9:04:13 PM	3611387053	1013.00	27.96	27.96	94.2	26.98	27.96	103.2	26.62	27.96	106.8	26.79	27.96	105.1
9/06/2018 9:04:14 PM	3611387054	1013.00	27.94	27.96	94.3	26.93	27.96	103.7	26.64	27.96	106.6	26.82	27.96	104.8
9/06/2018 9:04:15 PM	3611387055	1013.00	27.99	27.96	93.9	26.99	27.96	103.1	26.68	27.96	106.2	26.81	27.96	104.9
9/06/2018 9:04:16 PM	3611387056	1013.00	27.98	27.96	94.0	26.99	27.96	103.1	26.68	27.96	106.2	26.81	27.96	104.9
9/06/2018 9:04:17 PM	3611387057	1013.00	28.00	27.97	93.8	26.92	27.97	103.8	26.66	27.97	106.4	26.83	27.97	104.6
9/06/2018 9:04:18 PM	3611387058	1013.00	27.94	27.97	94.3	26.94	27.97	103.6	26.66	27.97	106.4	26.81	27.97	104.8
9/06/2018 9:04:19 PM	3611387059	1013.00	27.95	27.97	94.2	26.95	27.97	103.5	26.66	27.97	106.4	26.84	27.97	104.5
9/06/2018 9:04:20 PM	3611387060	1013.00	27.98	27.97	94.0	26.99	27.97	103.1	26.63	27.97	106.7	26.84	27.97	104.5
9/06/2018 9:04:21 PM	3611387061	1013.00	27.95	27.97	94.2	26.95	27.97	103.5	26.60	27.97	107.0	26.83	27.97	104.6
9/06/2018 9:04:22 PM	3611387062	1013.00	27.98	27.96	94.0	26.95	27.96	103.5	26.66	27.96	106.4	26.82	27.96	104.8
9/06/2018 9:04:23 PM	3611387063	1013.00	27.98	27.96	94.0	26.98	27.96	103.2	26.60	27.96	107.0	26.82	27.96	104.8
9/06/2018 9:04:24 PM	3611387064	1013.00	27.97	27.96	94.1	26.98	27.96	103.2	26.64	27.96	106.6	26.81	27.96	104.9
9/06/2018 9:04:25 PM	3611387065	1013.00	27.96	27.96	94.2	26.93	27.96	103.7	26.66	27.96	106.4	26.81	27.96	104.9
9/06/2018 9:04:26 PM	3611387066	1013.00	27.91	27.97	94.6	26.96	27.97	103.4	26.66	27.97	106.4	26.82	27.97	104.7
9/06/2018 9:04:27 PM	3611387067	1013.00	27.98	27.96	94.0	26.98	27.96	103.2	26.60	27.96	107.0	26.81	27.96	104.9
9/06/2018 9:04:28 PM	3611387068	1013.00	27.96	27.96	94.2	26.99	27.96	103.1	26.64	27.96	106.6	26.82	27.96	104.8
9/06/2018 9:04:29 PM	3611387069	1013.00	27.95	27.97	94.2	26.94	27.97	103.6	26.69	27.97	106.1	26.83	27.97	104.6
9/06/2018 9:04:30 PM	3611387070	1013.00	27.91	27.97	94.6	26.98	27.97	103.2	26.66	27.97	106.4	26.84	27.97	104.5
9/06/2018 9:04:31 PM	3611387071	1013.00	27.91	27.97	94.6	26.98	27.97	103.2	26.63	27.97	106.7	26.81	27.97	104.8
9/06/2018 9:04:32 PM	3611387072	1013.00	27.95	27.98	94.2	26.94	27.98	103.6	26.68	27.98	106.2	26.82	27.98	104.7
9/06/2018 9:04:33 PM	3611387073	1013.00	27.96	27.98	94.1	26.96	27.98	103.4	26.63	27.98	106.7	26.83	27.98	104.6
9/06/2018 9:04:34 PM	3611387074	1013.00	27.92	27.98	94.5	26.98	27.98	103.2	26.61	27.98	106.9	26.81	27.98	104.8
9/06/2018 9:04:35 PM	3611387075	1013.00	27.93	27.98	94.4	26.97	27.98	103.3	26.67	27.98	106.3	26.81	27.98	104.8
9/06/2018 9:04:36 PM	3611387076	1013.00	27.89	27.97	94.8	26.97	27.97	103.3	26.64	27.97	106.6	26.83	27.97	104.6
9/06/2018 9:04:37 PM	3611387077	1013.00	27.95	27.96	94.2	26.96	27.96	103.4	26.63	27.96	106.7	26.84	27.96	104.6
9/06/2018 9:04:38 PM	3611387078	1013.00	27.94	27.96	94.3	26.95	27.96	103.5	26.66	27.96	106.4	26.81	27.96	104.9
9/06/2018 9:04:39 PM	3611387079	1013.00	27.91	27.96	94.6	26.95	27.96	103.5	26.64	27.96	106.6	26.83	27.96	104.7
9/06/2018 9:04:40 PM	3611387080	1013.00	27.93	27.96	94.4	26.93	27.96	103.7	26.64	27.96	106.6	26.82	27.96	104.8
9/06/2018 9:04:41 PM	3611387081	1013.00	27.90	27.96	94.7	26.94	27.96	103.6	26.61	27.96	106.9	26.84	27.96	104.6
9/06/2018 9:04:42 PM	3611387082	1013.00	27.90	27.97	94.7	26.93	27.97	103.7	26.66	27.97	106.4	26.83	27.97	104.6
9/06/2018 9:04:43 PM	3611387083	1013.00	27.89	27.98	94.7	26.98	27.98	103.2	26.67	27.98	106.3	26.82	27.98	104.7
9/06/2018 9:04:44 PM	3611387084	1013.00	27.89	27.98	94.7	26.95	27.98	103.5	26.69	27.98	106.1	26.82	27.98	104.7
9/06/2018 9:04:45 PM	3611387085	1013.00	27.88	27.98	94.8	26.96	27.98	103.4	26.67	27.98	106.3	26.86	27.98	104.3
9/06/2018 9:04:46 PM	3611387086	1013.00	27.85	27.98	95.1	26.98	27.98	103.2	26.64	27.98	106.6	26.83	27.98	104.6
9/06/2018 9:04:47 PM	3611387087	1013.00	27.89	27.97	94.8	27.00	27.97	103.0	26.64	27.97	106.6	26.85	27.97	104.4
9/06/2018 9:04:48 PM	3611387088	1013.00	27.85	27.97	95.1	26.95	27.97	103.5	26.62	27.97	106.8	26.83	27.97	104.6
9/06/2018 9:04:49 PM	3611387089	1013.00	27.87	27.96	94.9	26.94	27.96	103.6	26.61	27.96	106.9	26.82	27.96	104.8
9/06/2018 9:04:50 PM	3611387090	1013.00	27.87	27.96	94.9	26.99	27.96	103.1	26.65	27.96	106.5	26.84	27.96	104.6
9/06/2018 9:04:51 PM	3611387091	1013.00	27.83	27.96	95.3	26.99	27.96	103.1	26.68	27.96	106.2	26.84	27.96	104.6
9/06/2018 9:04:52 PM	3611387092	1013.00	27.83	27.96	95.3	26.99	27.96	103.1	26.67	27.96	106.3	26.85	27.96	104.5
9/06/2018 9:04:53 PM	3611387093	1013.00	27.88	27.95	94.9	26.97	27.95	103.3	26.67	27.95	106.3	26.85	27.95	104.5
9/06/2018 9:04:54 PM	3611387094	1013.00	27.84	27.96	95.2	26.97	27.96	103.3	26.70	27.96	106.0	26.87	27.96	104.3
9/06/2018 9:04:55 PM	3611387095	1013.00	27.83	27.95	95.3	26.97	27.95	103.3	26.68	27.95	106.2	26.83	27.95	104.7
9/06/2018 9:04:56 PM	3611387096	1013.00	27.83	27.95	95.3	27.01	27.95	102.9	26.69	27.95	106.1	26.89	27.95	104.1
9/06/2018 9:04:57 PM	3611387097	1013.00	27.79	27.95	95.7	27.00	27.95	103.0	26.72	27.95	105.8	26.86	27.95	104.4
9/06/2018 9:04:58 PM	3611387098	1013.00	27.85	27.95	95.1	27.01	27.95	102.9	26.65	27.95	106.5	26.83	27.95	104.7
9/06/2018 9:04:59 PM	3611387099	1013.00	27.86	27.96	95.0	27.01	27.96	102.9	26.70	27.96	106.0	26.88	27.96	104.2
9/06/2018 9:05:00 PM	3611387100	1013.00	27.85	27.96	95.1	26.99	27.96	103.1	26.66	27.96	106.4	26.86	27.96	104.4
