Date & time of file creation	18/06/2018 8:35 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\18062018\New_19.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.70	27.12	0.00	100.00	28.00	28.00	0.000						
S WOT 0041 000001   , CH 2	1	59.70	27.12	0.00	100.00	28.00	28.00	0.000						
S WOT 0041 000001   , CH 3	1	59.70	27.12	0.00	100.00	28.00	28.00	0.000						
S WOT 0041 000001   , CH 4	1	59.70	27.12	0.00	100.00	28.00	28.00	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
18/06/2018 8:54:08 PM	3612164048	1013.00	27.12	28.01	100.0	27.17	28.01	99.5	27.13	28.01	99.9	NaN	28.01	NaN
18/06/2018 8:54:09 PM	3612164049	1013.00	27.16	28.02	99.6	27.21	28.02	99.1	27.08	28.02	100.3	NaN	28.02	NaN
18/06/2018 8:54:10 PM	3612164050	1013.00	27.12	28.02	100.0	27.15	28.02	99.7	27.15	28.02	99.7	NaN	28.02	NaN
18/06/2018 8:54:11 PM	3612164051	1013.00	27.14	28.01	99.8	27.20	28.01	99.2	27.14	28.01	99.8	NaN	28.01	NaN
18/06/2018 8:54:12 PM	3612164052	1013.00	27.12	28.01	100.0	27.21	28.01	99.1	27.15	28.01	99.7	NaN	28.01	NaN
18/06/2018 8:54:13 PM	3612164053	1013.00	27.13	28.00	99.9	27.19	28.00	99.3	27.13	28.00	99.9	NaN	28.00	NaN
18/06/2018 8:54:14 PM	3612164054	1013.00	27.10	27.99	100.2	27.20	27.99	99.3	27.11	27.99	100.1	NaN	27.99	NaN
18/06/2018 8:54:15 PM	3612164055	1013.00	27.13	28.00	99.9	27.24	28.00	98.9	27.11	28.00	100.1	NaN	28.00	NaN
18/06/2018 8:54:16 PM	3612164056	1013.00	27.12	28.01	100.0	27.21	28.01	99.1	27.14	28.01	99.8	NaN	28.01	NaN
18/06/2018 8:54:17 PM	3612164057	1013.00	27.14	28.01	99.8	27.21	28.01	99.1	27.13	28.01	99.9	NaN	28.01	NaN
18/06/2018 8:54:18 PM	3612164058	1013.00	27.11	28.02	100.1	27.21	28.02	99.1	27.14	28.02	99.8	NaN	28.02	NaN
18/06/2018 8:54:19 PM	3612164059	1013.00	27.13	28.02	99.9	27.19	28.02	99.3	27.17	28.02	99.5	NaN	28.02	NaN
18/06/2018 8:54:20 PM	3612164060	1013.00	27.13	28.02	99.9	27.22	28.02	99.0	27.11	28.02	100.1	NaN	28.02	NaN
18/06/2018 8:54:21 PM	3612164061	1013.00	27.11	28.01	100.1	27.22	28.01	99.0	27.13	28.01	99.9	NaN	28.01	NaN
18/06/2018 8:54:22 PM	3612164062	1013.00	27.12	28.02	100.0	27.21	28.02	99.1	27.15	28.02	99.7	NaN	28.02	NaN
18/06/2018 8:54:23 PM	3612164063	1013.00	27.14	28.02	99.8	27.19	28.02	99.3	27.16	28.02	99.6	NaN	28.02	NaN
18/06/2018 8:54:24 PM	3612164064	1013.00	27.10	28.02	100.2	27.19	28.02	99.3	27.12	28.02	100.0	NaN	28.02	NaN
18/06/2018 8:54:25 PM	3612164065	1013.00	27.13	28.02	99.9	27.22	28.02	99.0	27.13	28.02	99.9	NaN	28.02	NaN
18/06/2018 8:54:26 PM	3612164066	1013.00	27.14	28.02	99.8	27.22	28.02	99.0	27.13	28.02	99.9	NaN	28.02	NaN
18/06/2018 8:54:27 PM	3612164067	1013.00	27.12	28.02	100.0	27.19	28.02	99.3	27.13	28.02	99.9	NaN	28.02	NaN
18/06/2018 8:54:28 PM	3612164068	1013.00	27.12	28.02	100.0	27.19	28.02	99.3	27.15	28.02	99.7	NaN	28.02	NaN
18/06/2018 8:54:29 PM	3612164069	1013.00	27.11	28.02	100.1	27.23	28.02	98.9	27.13	28.02	99.9	NaN	28.02	NaN
18/06/2018 8:54:30 PM	3612164070	1013.00	27.14	28.02	99.8	27.24	28.02	98.8	27.12	28.02	100.0	NaN	28.02	NaN
18/06/2018 8:54:31 PM	3612164071	1013.00	27.11	28.02	100.1	27.17	28.02	99.5	27.16	28.02	99.6	NaN	28.02	NaN
18/06/2018 8:54:32 PM	3612164072	1013.00	27.12	28.01	100.0	27.22	28.01	99.0	27.14	28.01	99.8	NaN	28.01	NaN
18/06/2018 8:54:33 PM	3612164073	1013.00	27.10	28.01	100.2	27.23	28.01	98.9	27.11	28.01	100.1	NaN	28.01	NaN
18/06/2018 8:54:34 PM	3612164074	1013.00	27.13	28.01	99.9	27.20	28.01	99.2	27.14	28.01	99.8	NaN	28.01	NaN
18/06/2018 8:54:35 PM	3612164075	1013.00	27.12	28.01	100.0	27.21	28.01	99.1	27.13	28.01	99.9	NaN	28.01	NaN
18/06/2018 8:54:36 PM	3612164076	1013.00	27.13	28.01	99.9	27.21	28.01	99.1	27.10	28.01	100.2	NaN	28.01	NaN
18/06/2018 8:54:37 PM	3612164077	1013.00	27.11	28.01	100.1	27.21	28.01	99.1	27.10	28.01	100.2	NaN	28.01	NaN
18/06/2018 8:54:38 PM	3612164078	1013.00	27.12	28.01	100.0	27.21	28.01	99.1	27.11	28.01	100.1	NaN	28.01	NaN
18/06/2018 8:54:39 PM	3612164079	1013.00	27.12	28.01	100.0	27.20	28.01	99.2	27.11	28.01	100.1	NaN	28.01	NaN
18/06/2018 8:54:40 PM	3612164080	1013.00	27.15	28.01	99.7	27.19	28.01	99.3	27.11	28.01	100.1	NaN	28.01	NaN
18/06/2018 8:54:41 PM	3612164081	1013.00	27.12	28.02	100.0	27.22	28.02	99.0	27.11	28.02	100.1	NaN	28.02	NaN
18/06/2018 8:54:42 PM	3612164082	1013.00	27.14	28.01	99.8	27.21	28.01	99.1	27.13	28.01	99.9	NaN	28.01	NaN
18/06/2018 8:54:43 PM	3612164083	1013.00	27.11	28.01	100.1	27.21	28.01	99.1	27.12	28.01	100.0	NaN	28.01	NaN
18/06/2018 8:54:44 PM	3612164084	1013.00	27.13	28.01	99.9	27.22	28.01	99.0	27.13	28.01	99.9	NaN	28.01	NaN
18/06/2018 8:54:45 PM	3612164085	1013.00	27.11	28.01	100.1	27.23	28.01	98.9	27.11	28.01	100.1	NaN	28.01	NaN
18/06/2018 8:54:46 PM	3612164086	1013.00	27.12	28.01	100.0	27.22	28.01	99.0	27.10	28.01	100.2	NaN	28.01	NaN
18/06/2018 8:54:47 PM	3612164087	1013.00	27.11	28.02	100.1	27.23	28.02	98.9	27.13	28.02	99.9	NaN	28.02	NaN
18/06/2018 8:54:48 PM	3612164088	1013.00	27.14	28.02	99.8	27.20	28.02	99.2	27.14	28.02	99.8	NaN	28.02	NaN
18/06/2018 8:54:49 PM	3612164089	1013.00	27.12	28.01	100.0	27.22	28.01	99.0	27.13	28.01	99.9	NaN	28.01	NaN
18/06/2018 8:54:50 PM	3612164090	1013.00	27.11	28.01	100.1	27.21	28.01	99.1	27.15	28.01	99.7	NaN	28.01	NaN
18/06/2018 8:54:51 PM	3612164091	1013.00	27.11	28.01	100.1	27.20	28.01	99.2	27.12	28.01	100.0	NaN	28.01	NaN
18/06/2018 8:54:52 PM	3612164092	1013.00	27.12	28.01	100.0	27.21	28.01	99.1	27.11	28.01	100.1	NaN	28.01	NaN
18/06/2018 8:54:53 PM	3612164093	1013.00	27.13	28.02	99.9	27.24	28.02	98.8	27.13	28.02	99.9	NaN	28.02	NaN
18/06/2018 8:54:54 PM	3612164094	1013.00	27.13	28.02	99.9	27.22	28.02	99.0	27.10	28.02	100.2	NaN	28.02	NaN
18/06/2018 8:54:55 PM	3612164095	1013.00	27.12	28.02	100.0	27.19	28.02	99.3	27.13	28.02	99.9	NaN	28.02	NaN
