Date & time of file creation	10/06/2018 8:22 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\10062018\Old_6.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.67	27.50	0.00	100.00	27.64	27.66	0.000						
S WOT 0041 000001   , CH 2	1	59.67	27.50	0.00	100.00	27.64	27.66	0.000						
S WOT 0041 000001   , CH 3	1	59.67	27.50	0.00	100.00	27.30	27.66	0.000						
S WOT 0041 000001   , CH 4	1	59.67	27.50	0.00	100.00	27.64	27.66	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
10/06/2018 8:22:51 PM	3611470971	1013.00	NaN	28.18	NaN	26.51	28.18	108.9	26.72	28.18	106.7	26.82	28.18	105.7
10/06/2018 8:22:52 PM	3611470972	1013.00	NaN	28.18	NaN	26.52	28.18	108.8	26.73	28.18	106.6	26.86	28.18	105.3
10/06/2018 8:22:53 PM	3611470973	1013.00	NaN	28.17	NaN	26.57	28.17	108.3	26.71	28.17	106.8	26.84	28.17	105.5
10/06/2018 8:22:54 PM	3611470974	1013.00	NaN	28.16	NaN	26.46	28.16	109.4	26.69	28.16	107.0	26.81	28.16	105.8
10/06/2018 8:22:55 PM	3611470975	1013.00	NaN	28.16	NaN	26.57	28.16	108.3	26.77	28.16	106.2	26.81	28.16	105.8
10/06/2018 8:22:56 PM	3611470976	1013.00	NaN	28.16	NaN	26.57	28.16	108.3	26.71	28.16	106.8	26.84	28.16	105.5
10/06/2018 8:22:57 PM	3611470977	1013.00	NaN	28.17	NaN	26.51	28.17	108.9	26.75	28.17	106.4	26.84	28.17	105.5
10/06/2018 8:22:58 PM	3611470978	1013.00	NaN	28.17	NaN	26.46	28.17	109.4	26.71	28.17	106.8	26.82	28.17	105.7
10/06/2018 8:22:59 PM	3611470979	1013.00	NaN	28.18	NaN	26.52	28.18	108.8	26.74	28.18	106.5	26.84	28.18	105.5
10/06/2018 8:23:00 PM	3611470980	1013.00	NaN	28.18	NaN	26.52	28.18	108.8	26.66	28.18	107.3	26.83	28.18	105.6
10/06/2018 8:23:01 PM	3611470981	1013.00	NaN	28.18	NaN	26.50	28.18	109.0	26.70	28.18	106.9	26.85	28.18	105.4
10/06/2018 8:23:02 PM	3611470982	1013.00	NaN	28.19	NaN	26.44	28.19	109.6	26.68	28.19	107.1	26.82	28.19	105.7
10/06/2018 8:23:03 PM	3611470983	1013.00	NaN	28.18	NaN	26.46	28.18	109.4	26.70	28.18	106.9	26.83	28.18	105.6
10/06/2018 8:23:04 PM	3611470984	1013.00	NaN	28.18	NaN	26.57	28.18	108.2	26.73	28.18	106.6	26.87	28.18	105.2
10/06/2018 8:23:05 PM	3611470985	1013.00	NaN	28.18	NaN	26.57	28.18	108.2	26.71	28.18	106.8	26.81	28.18	105.8
10/06/2018 8:23:06 PM	3611470986	1013.00	NaN	28.18	NaN	26.54	28.18	108.6	26.69	28.18	107.0	26.85	28.18	105.4
10/06/2018 8:23:07 PM	3611470987	1013.00	NaN	28.17	NaN	26.54	28.17	108.6	26.75	28.17	106.4	26.83	28.17	105.6
10/06/2018 8:23:08 PM	3611470988	1013.00	NaN	28.19	NaN	26.52	28.19	108.7	26.67	28.19	107.2	26.80	28.19	105.9
10/06/2018 8:23:09 PM	3611470989	1013.00	NaN	28.18	NaN	26.50	28.18	109.0	26.72	28.18	106.7	26.84	28.18	105.5
10/06/2018 8:23:10 PM	3611470990	1013.00	NaN	28.19	NaN	26.54	28.19	108.5	26.71	28.19	106.8	26.81	28.19	105.8
10/06/2018 8:23:11 PM	3611470991	1013.00	NaN	28.20	NaN	26.53	28.20	108.6	26.73	28.20	106.6	26.84	28.20	105.4
10/06/2018 8:23:12 PM	3611470992	1013.00	NaN	28.20	NaN	26.44	28.20	109.6	26.73	28.20	106.6	26.82	28.20	105.6
10/06/2018 8:23:13 PM	3611470993	1013.00	NaN	28.20	NaN	26.54	28.20	108.5	26.77	28.20	106.2	26.85	28.20	105.3
